src	dst	amount
Ud7002ae5a86c	C7a807e462b65	1
C3c17b70c3357	U3de789cac826	1
U6d2f25cc4264	Bdf39d0e1daf5	-1
U5cfee124371b	U000000000000	1
Bd90a1cf73384	U99a0f1f7e6ee	1
U80e22da6d8c4	Cbbf2df46955b	5
U0cd6bd2dde4f	U000000000000	1
U9a2c85753a6d	C78ad459d3b81	4
U26aca0e369c7	Cb117f464e558	1
Ce1a7d8996eb0	Uf5096f6ab14e	1
U8a78048d60f7	B25c85fe0df2d	-1
U09cf1f359454	Bad1c69de7837	-1
Uc1158424318a	C6acd550a4ef3	1
B310b66ab31fb	U6d2f25cc4264	1
U9a89e0679dec	C6aebafa4fe8e	8
U499f24158a40	C4b2b6fd8fa9a	1
U01814d1ec9ff	B8a531802473b	8
Ub93799d9400e	B75a44a52fa29	5
B70df5dbab8c3	U09cf1f359454	1
U34252014c05b	B0a87a669fc28	1
Ud18285ef1202	U000000000000	1
U1bcba4fd7175	U09cf1f359454	1
Uadeb43da4abb	C9462ca240ceb	-1
U9a89e0679dec	Bb78026d99388	1
U89a6e30efb07	U000000000000	1
U8a78048d60f7	B491d307dfe01	3
C7c4d9ca4623e	U8aa2e2623fa5	1
U9e972ae23870	U000000000000	1
U389f9f24b31c	U7a8d8324441d	1
Uf5096f6ab14e	Ce1a7d8996eb0	1
U01814d1ec9ff	C1c86825bd597	1
Udece0afd9a8b	C357396896bd0	1
U09cf1f359454	B4f00e7813add	1
Bd7a8bfcf3337	U02fbd7c8df4c	1
U1c285703fc63	U9e42f6dab85a	1
C247501543b60	U499f24158a40	1
U1e41b5f3adff	B310b66ab31fb	5
U9a2c85753a6d	Cfdde53c79a2d	4
Uaa4e2be7a87a	Uadeb43da4abb	1
U80e22da6d8c4	C613f00c1333c	1
C31dac67e313b	U6661263fb410	1
C67e4476fda28	U1c285703fc63	1
U09cf1f359454	U000000000000	1
U1bcba4fd7175	B45d72e29f004	-9
U80e22da6d8c4	C3e84102071d1	4
U05e4396e2382	Bad1c69de7837	-1
U9605bd4d1218	Cab47a458295f	3
U6d2f25cc4264	C992d8370db6b	1
Cd795a41fe71d	U362d375c067c	1
Cbce32a9b256a	U389f9f24b31c	1
Uc1158424318a	U000000000000	1
U389f9f24b31c	U000000000000	1
U09cf1f359454	B63fbe1427d09	-1
B63fbe1427d09	U1c285703fc63	1
B4f14b223b56d	Ud04c89aaf453	1
U1e41b5f3adff	U6d2f25cc4264	1
Uf5096f6ab14e	B60d725feca77	8
Uf2b0a6b1d423	C6a2263dc469e	3
Ueb1e69384e4e	U000000000000	1
C89c123f7bcf5	U8842ed397bb7	1
Ufb826ea158e5	U000000000000	1
U1bcba4fd7175	Bfefe4e25c870	5
U09cf1f359454	B9c01ce5718d1	2
U26aca0e369c7	C4893c40e481d	2
Uac897fe92894	B7f628ad203b5	1
Ue7a29d5409f2	Uaa4e2be7a87a	-1
Uf5096f6ab14e	C4893c40e481d	-1
U1c285703fc63	U000000000000	1
U6d2f25cc4264	C25639690ee57	1
U6d2f25cc4264	Ud9df8116deba	1
U09cf1f359454	B491d307dfe01	2
Be29b4af3f7a5	Uc35c445325f5	1
U1188b2dfb294	U000000000000	1
U01814d1ec9ff	U02fbd7c8df4c	1
Cb07d467c1c5e	U8a78048d60f7	1
Cdeab5b39cc2a	U499f24158a40	1
U8aa2e2623fa5	B9c01ce5718d1	-2
C4e0db8dec53e	U0c17798eaab4	1
U8a78048d60f7	Cf4b448ef8618	2
U4c619411e5de	U000000000000	1
U8a78048d60f7	B7f628ad203b5	-1
Uc78a29f47b21	U000000000000	1
U6d2f25cc4264	C247501543b60	1
Cfc639b9aa3e0	U389f9f24b31c	1
Bfefe4e25c870	U499f24158a40	1
Ba5d64165e5d5	U1e41b5f3adff	1
Ua12e78308f49	B75a44a52fa29	4
Uf5096f6ab14e	U000000000000	1
U1d5b8c2a3400	U000000000000	1
Ucdffb8ab5145	U000000000000	1
Uaa4e2be7a87a	Cd06fea6a395f	1
Ucfe743b8deb1	U000000000000	1
U9605bd4d1218	B75a44a52fa29	4
B499bfc56e77b	Uc1158424318a	1
U682c3380036f	B75a44a52fa29	2
Ue202d5b01f8d	C637133747308	1
U6d2f25cc4264	Cab47a458295f	1
U0c17798eaab4	Cd06fea6a395f	8
U8a78048d60f7	U01814d1ec9ff	1
Ua01529fb0d57	U000000000000	1
U1c285703fc63	Cd59e6cd7e104	1
U8a78048d60f7	B45d72e29f004	-1
U499f24158a40	U000000000000	1
Cb117f464e558	U26aca0e369c7	1
Cfd59a206c07d	U99a0f1f7e6ee	1
C8ece5c618ac1	U21769235b28d	1
Uac897fe92894	C9462ca240ceb	0
U21769235b28d	C481cd737c873	1
C6f84810d3cd9	U499f24158a40	1
Ub93c197b25c5	U000000000000	1
Uadeb43da4abb	Cc9f863ff681b	2
Uc3c31b8a022f	C78d6fac93d00	3
Udece0afd9a8b	C4f2dafca724f	8
Uaa4e2be7a87a	B0e230e9108dd	2
Ubd3c556b8a25	U000000000000	1
U8a78048d60f7	U000000000000	1
U389f9f24b31c	Cdcddfb230cb5	5
Uc1158424318a	Cc9f863ff681b	1
U26aca0e369c7	C6acd550a4ef3	4
C8c753f46c014	U8842ed397bb7	1
C78d6fac93d00	Uc1158424318a	1
U8a78048d60f7	Cdcddfb230cb5	1
U9a2c85753a6d	C357396896bd0	8
Ud5b22ebf52f2	B310b66ab31fb	1
U802de6b3675a	U000000000000	1
U389f9f24b31c	Cd59e6cd7e104	3
U8a78048d60f7	B0e230e9108dd	-1
U09cf1f359454	U6d2f25cc4264	1
Uad577360d968	Cbce32a9b256a	3
U8c33fbcc06d7	U000000000000	1
Bf3a0a1165271	U9a89e0679dec	1
U09cf1f359454	B70df5dbab8c3	1
U09cf1f359454	Be29b4af3f7a5	-1
C0b19d314485e	Uaa4e2be7a87a	1
U5e1dd853cab5	U000000000000	1
U09cf1f359454	Bc896788cd2ef	-1
Uc35c445325f5	B9c01ce5718d1	4
Ub152bb6d4a86	U000000000000	1
U01814d1ec9ff	B9c01ce5718d1	10
C25639690ee57	U6d2f25cc4264	1
Ue202d5b01f8d	U000000000000	1
U362d375c067c	Bad1c69de7837	0
U1c285703fc63	C67e4476fda28	1
Ue7a29d5409f2	U000000000000	1
U8a78048d60f7	B60d725feca77	-1
U016217c34c6e	Ca0a6aea6c82e	1
U8a78048d60f7	Bfefe4e25c870	3
U9a2c85753a6d	Cdcddfb230cb5	4
Uf5096f6ab14e	Cb14487d862b3	1
U682c3380036f	C7986cd8a648a	1
U02fbd7c8df4c	Bd7a8bfcf3337	1
U7a8d8324441d	Cbbf2df46955b	5
U79466f73dc0c	B9c01ce5718d1	-6
Ucfb9f0586d9e	U000000000000	1
U8a78048d60f7	U6240251593cd	1
U704bd6ecde75	C3b855f713d19	1
Uc1158424318a	C0b19d314485e	4
U1c285703fc63	Uad577360d968	1
U499f24158a40	C8d80016b8292	1
Ce49159fe9d01	U6661263fb410	1
Uc35c445325f5	B8a531802473b	-5
U6d2f25cc4264	B8a531802473b	-1
U704bd6ecde75	B9c01ce5718d1	-1
U77f496546efa	B9c01ce5718d1	-1
U6d2f25cc4264	B7f628ad203b5	-1
U7a8d8324441d	Cd06fea6a395f	9
U8a78048d60f7	B310b66ab31fb	4
U682c3380036f	U000000000000	1
U6661263fb410	Cc01e00342d63	1
U80e22da6d8c4	Cb76829a425d9	-1
U499f24158a40	B491d307dfe01	1
Ccb7dc40f1513	U6661263fb410	1
Cb76829a425d9	Ue7a29d5409f2	1
B45d72e29f004	U26aca0e369c7	1
Ud04c89aaf453	U8a78048d60f7	1
Uac897fe92894	Be2b46c17f1da	2
B73a44e2bbd44	U8a78048d60f7	1
Ue7a29d5409f2	C399b6349ab02	5
Cfa08a39f9bb9	Ubebfe0c8fc29	1
U9605bd4d1218	B5a1c1d3d0140	2
Cdcddfb230cb5	Udece0afd9a8b	1
U7a8d8324441d	C78d6fac93d00	2
Ud04c89aaf453	B73a44e2bbd44	4
U8a78048d60f7	B79efabc4d8bf	1
U2cd96f1b2ea6	U000000000000	1
Be5bb2f3d56cb	U3c63a9b6115a	1
U8842ed397bb7	C89c123f7bcf5	1
C0cd490b5fb6a	Uad577360d968	1
U80e22da6d8c4	Be2b46c17f1da	1
U09cf1f359454	B499bfc56e77b	-1
